,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
"$89,769.8",$12.5,64.8,,AFN 810,خریداری روغن مایح و برنج  به دفتر ,11-Apr-26,675,,,,
"$89,775.2",$5.4,64.8,,AFN 350,خریداری گوشت گوساله به دفتر ,11-Apr-26,676,,,,
"$89,777.5",$2.3,64.8,,AFN 150,خریداری چیلی ساس به دفتر ,11-Apr-26,677,,,,
"$89,788.3",$10.8,64.8,,AFN 700,خریداری گوشت مرغ به دفتر,11-Apr-26,678,,,,
"$89,802.9",$14.5,64.8,,AFN 940,خریداری مالته و سیب به دفتر,11-Apr-26,679,,,,
"$89,811.0",$8.2,64.8,,AFN 530,"خریداری مواد خوراکی دلمه, زردک, تخم, ترکاری, کرم   به دفتر ",11-Apr-26,680,,,,
"$89,811.6",$0.6,64.8,,AFN 36,خریداری تخم مرغ به دفتر,11-Apr-26,681,,,,
"$89,813.0",$1.4,64.6,,AFN 90,مصارف بیرونی رحیم از قبیل رفتن به کارته سه بابت دیدن خانه به هدایت حاجی صبغت الله ,12-Apr-26,682,,,,
"$89,943.0",$130.0,64.6,,"AFN 8,400","خریداری وسایل موتر از قبیل سویچ اینه, لیلیتر موتر و غیره و پرداخت اجرت کاریگر موتر به دفتر ",12-Apr-26,683,,,,
"$90,014.2",$71.2,64.6,,"AFN 4,600",خریداری و تبدیلی مبلایل موتری هایلکس به دفتر ,12-Apr-26,684,,,,
"$90,019.6",$5.4,64.9,,AFN 350,خریدرای بولت و دسته آهنی به دفتر ,13-Apr-26,685,,,,
"$90,089.2",$69.6,64.9,,"AFN 4,518",پرداخت بابت خریداری گوشت به خانه ,13-Apr-26,686,,,,
"$90,100.2",$10.9,64.9,,AFN 710,"مصارف بیرونی رحیم از قبیل رفتن به کارته , کوته سنگی, صدور, شهر نو, صدور, صدور مجاوز و خریداری 5 انرژی بخاطر دیدن مشتری های للندر 4 و 6 ",13-Apr-26,687,,,,
"$90,171.7",$71.5,64.9,,"AFN 4,640","خریداری پیاز, کاهو, زردک, کدو, مرچ, پاکت, شلغم, بادنجان سیاه و غیره به دفتر ",13-Apr-26,688,,,,
"$90,173.8",$2.2,64.7,,AFN 140,خریداری مایح ظرف شویی به دفتر ,14-Apr-26,689,,,,
"$90,178.8",$4.9,64.7,,AFN 320,"خریداری رومی, کچالو, گشنیز, نعنا, مرچ و ماست به دفتر ",14-Apr-26,690,,,,
"$90,180.3",$1.5,64.7,,AFN 100,خریداری شیر به دفتر ,14-Apr-26,691,,,,
"$90,186.4",$6.1,64.7,,AFN 395,"خریدرای مواد خوراکی از قبیل متر, کچالو, زردک, گشنیز و لیمو به دفتر",14-Apr-26,692,,,,
"$90,191.2",$4.8,64.7,,AFN 310,خریداری گوشت مرغ به دفتر,14-Apr-26,693,,,,
"$90,214.4",$23.2,64.7,,"AFN 1,500",پرداخت مصارف چای صبح و نان چاشت گلکار و کاریگران باغ قاضی بابت 5 فی روز 300 افغانی,14-Apr-26,694,,,,
"$90,241.4",$27.0,64.7,,"AFN 1,750",پرداخت اجرت 5 روزه زمری کاریگران بابت سنگ کاری تعمیر باغ قاضی فی روز از قرار 350 افغانی ,14-Apr-26,695,,,,
"$90,268.5",$27.0,64.7,,"AFN 1,750",پرداخت اجرت 5 روزه هارون کاریگر بابت سنگ کاری تعمیر باغ قاضی فی روز از قرار 350 افغانی ,14-Apr-26,696,,,,
"$90,284.0",$15.5,64.7,,"AFN 1,000",پرداخت پول باقیمانده روز مزد نصیر احمد بابت سنگ کاری تعمیر باغ قاضی,14-Apr-26,697,,,,
"$90,299.8",$15.9,64.8,,"AFN 1,030",پرداخت برای مصارفات بیرونی عبدالرحیم از درک نان شب و کرای موتر به ریاست صدور مجوز ,16-Apr-26,698,,,,
"$90,408.3",$108.5,64.8,,"AFN 7,030","خریداری میخک, زنجفیل, بوره, گر, ممپلی, کاغذ, اسپری, پودر لباس شویی, سیمک, چاکلیت, چای و هیل بابت دفتر ",16-Apr-26,699,,,,
"$90,414.0",$5.7,64.8,,AFN 370,"خریداری دبل, نوار تفلون, سامی و پیوند بابت دفتر ",16-Apr-26,700,,,,
"$90,452.6",$38.6,64.8,,"AFN 2,500",پرداخت برای انترنت دفتر,18-Apr-26,701,,,,
"$140,452.6","$50,000.0",64.8,"$50,000.00",,پرداخت برای خانم لیلما و محمد فیاض بابت خریداری یک دربند حویلی واقع سرک عمومی کارته چهار پل سرخ,18-Apr-26,702,,,,
"$140,460.0",$7.4,64.8,,AFN 480,"پرداخت مصارف بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی, صدور , دفتر, شهر نو, صدور, کوته سنگی, دفتر و پرداخت برای سمیر",18-Apr-26,703,,,,
"$140,468.1",$8.0,64.8,,AFN 520,"پرداخت مصارف بیرونی عبدالرحیم از قبیل رفتن به سینمای پامیر, میدان چهاراهی برشنا عرضه برای خانه گدام, چهارهی عبدالحق, وزارت شهر سازی, چهارهی صحت عامه, میدان چهارهی شهر و صدور مجاوز کوته سنگی همرای مهراج دو نفر کارت",19-Apr-26,704,,,,
"$140,506.6",$38.6,64.8,,"AFN 2,500",پیش پرداخت برای نوید الله امیری ولد عصمت الله بابت ماه اپریل سال 2026,19-Apr-26,705,,,,
"$140,552.9",$46.3,64.8,,"AFN 3,000",پیش پرداخت برای پلستر کاران تعمیر باغ قاضی به دست نجیب الله,19-Apr-26,706,,,,
"$140,560.8",$7.9,64.8,,AFN 510,"پرداخت مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, اسکن اسناد میر علم, نان چاشت, شهر, سرای شهزاده و دفتر",21-Apr-26,707,,,,
"$140,562.4",$1.6,64.5,,AFN 100,خریداری دسترخوان بابت دفتر,22-Apr-26,708,,,,
"$140,577.1",$14.7,64.5,,AFN 950,"خریداری پلاستیک, نوت استیک, رنگ تاپه بابت دفتر",22-Apr-26,709,,,,
"$140,583.6",$6.5,64.5,,AFN 420,"پرداخت مصارف بیرونی رحیم از قبیل رفتن به پل باغ عمومی, کوته سنگی, صدور مجاوز, وزیر اکبر خان و دفتر, صدور مجاوز و غیره",22-Apr-26,710,,,,
"$140,897.5",$314.0,64.5,,"AFN 20,250",پرداخت برای مواد ساختمانی شیر باز بابت خریداری ریگ شسته و 26 متر سنگ به تعمیر باغ قاضی,23-Apr-26,711,,,,
"$140,918.5",$20.9,64.5,,"AFN 1,350",پرداخت اجرت روز مزد سه نفر مزدورکار بابت پاک کاری اطراف سنگ کاری بابت پلستر کاری تعمیر باغ قاضی,23-Apr-26,712,,,,
"$141,018.3",$99.8,64.5,,"AFN 6,440",پرداخت پول باقیمانده اجرت پلستر کاری سنگ کاری و خشت کاری تعمیر باغ قاضی,23-Apr-26,713,,,,
"$141,217.4",$199.1,64.5,,"AFN 12,840",پرداخت فعلی برای لعل پاچاه بابت تهیه و خریداری لباس به خانه,25-Apr-26,714,,,,
"$141,422.4",$205.0,64.4,,"AFN 13,200",پرداخت معاش عبدالرحیم ولد عبدالقفار بابت ماه حمل سال 1405,27-Apr-26,715,,,,
"$141,430.1",$7.8,64.4,,AFN 500,پرداخت برای وکیل کارته چهار عبدالصمد بابت تاپه نمودن فورم ضمانت حاجی صبغت الله به حوزه سوم امنیتی کابل,27-Apr-26,716,,,,
"$141,484.5",$54.3,64.4,,"AFN 3,500",پرداخت معاش نویدالله ولد عصمت الله بابت ماه آپریل سال 2026                                                                                                                                                                                                                              ,28-Apr-26,717,,,,
"$141,577.6",$93.2,64.4,,"AFN 6,000",پرداخت معاش انیل ولد عصمت الله بابت ماه آپریل سال 2026                                                                                                                                                                                                                              ,28-Apr-26,718,,,,
"$142,121.4",$543.7,64.4,,"AFN 35,015","خریداری پمپرس, مکرونی, آش, رومی مرچ, زنجفیل, نخود, لوبیا, آرد و غیره بابت خانه ",30-Apr-26,719,,,,
"$142,314.5",$193.1,64.4,,"AFN 12,438",پرداخت تعرفه صفایی تعمیر چهلستون و کمیشن بابت سال 1405,30-Apr-26,720,,,,
"$142,451.2",$136.7,64.4,,"AFN 8,803",پرداخت تعرفه صفایی جایداد دارالامان بابت سال 1405 و کمیشن همراه با کرای موتر ,30-Apr-26,721,,,,
"$142,466.7",$15.5,64.57,,"AFN 1,000",خریداری کارت برای خانه و خاجی رقیح الله                           ,2-May-26,722,,,,
"$142,493.3",$26.6,64.57,,"AFN 1,720",خریداری 7 خوراک قابلی پلو و 6 خوراک کباب بابت دفتر ,3-May-26,723,,,,
"$142,511.9",$18.6,64.57,,"AFN 1,200",حریداری پیتزا برای مهمانان دفتر ,4-May-26,724,,,,
"$142,759.0",$247.1,64.4,,"AFN 15,913",تصفیه حساب لعل پادشاه بابت خریداری و تهیه لباس بابت خانه ,5-May-26,725,,,,
"$142,805.6",$46.6,64.4,,"AFN 3,000",حریداری مایح ظرفشویی فورم به خانه از انجنیر صفی الله صدیقی ,5-May-26,726,,,,
"$146,672.0","$3,866.5",64.4,,"AFN 249,000","پرداخت برای خریداری دو راس گاو, یک راس گوساله و یک راس گوسفند به قربانی عید السعید الضی توسظ حاجی احسان الله ",5-May-26,727,,,,
"$146,695.3",$23.3,64.4,,"AFN 1,500",پرداخت پول برای وکیل و میتر خوان و خریداری انرژی برای میتر خوان و انجنیری,5-May-26,728,,,,
"$146,749.7",$54.3,64.4,,"AFN 3,500",خریداری نیل پطرول برای موتر فرونربابت دفتر ,5-May-26,729,,,,
"$146,904.9",$155.3,64.4,,"AFN 10,000",پرداخت فغلی از درک جمهوریت به خانه از چمله 25000 افغانی,5-May-26,730,,,,
"$147,904.9","$1,000.0",64.4,"$1,000.00",,اجر احواله شفیق الله صدیقی از کشور امریکا توسط حاجی رفیح اللله برای انجمیر صفی الله در کابل                                                                                                                   ,5-May-26,731,,,,
"$157,904.9","$10,000.0",64.4,"$10,000.00",,اجر  حواله نقدی برای وکیل زرشوی بابت جایداد عبدالحبیب ولد عبدالاحد سرکت عمومی کارته چهار توسط قاری تمیم توسط چک نمبر 2412,6-May-26,732,,,,
"$158,021.7",$116.8,64.4,,"AFN 7,520","پرداخت برای موتر شویی بابت شستن موتر, رنگ مالی, ترمیم شیشه موتر, نوشابه, آبو کرای راه موتر ",6-May-26,733,,,,
"$158,236.5",$214.8,64.4,,"AFN 13,830",پرداخت تعرفه صفایی تعمیر چلستون بابت سال 1405 همرای کرای تکسی و کمیشن بانکی,7-May-26,734,,,,
"$168,236.5","$10,000.0",63.8,"$10,000.00",,اجرا حواله تقدی برای عزیز طارق از کشور امریکا توسط چک نمبر 2415 برای انجنیر حیات که پول را به دوکان دار روان عبدالستار دار نده نمبر تذکره 1403.0702.25400,9-May-26,735,,,,
"$168,244.3",$7.9,63.48,,AFN 500,پرداخت برای وزارت خارجه  بابت تاپه نمودن شهادت نامه سمیر للندر ,10-May-26,736,,,,
"$168,275.8",$31.5,63.5,,"AFN 2,000",پرداخت به خیرات مدرسه توسط حاجی صبغت الله ,11-May-26,737,,,,
"$168,427.6",$151.8,64.4,,"AFN 9,774","پرداخت صفایی واحد های خانه گزرگاه نمبر های 11349270, 11360377 و 11384317",11-May-26,738,,,,
"$168,538.9",$111.3,64.4,,"AFN 7,166","پرداخت صفایی واحد های خانه گزرگاه نمبر تعرفه 11360547, 11364871 و غیره ",11-May-26,739,,,,
"$168,724.4",$185.5,64.4,,"AFN 11,944",پرداخت صفایی حویلی پارکینک بخارا نمبر تعرفه 11187314 ,11-May-26,740,,,,
"$168,741.6",$17.3,63.63,,"AFN 1,100","مصارف بیرونی عبدالرحیم از قبیل رفتن به برشنا, کوته سنگی رفت و آمد, مندوی, کاپی اسناد و رفتن به ناحیه پل سرخ مصارف ذکر شده مربوط روز های چهارشنبه, شنبه و دوشنبه می شود",11-May-26,741,,,,
"$168,748.7",$7.1,63.63,,AFN 450,خریداری انرژی برای کارمند های برشنا و کرایی راه ,11-May-26,742,,,,
"$168,752.0",$3.3,63.63,,AFN 210,"مصارف بیرونی عبدالرحیم از قبیل کرای راه الی دفتر, کرای راه نان چاشت نوید بابت پرداخت تعرفه ",12-May-26,743,,,,
"$168,753.9",$1.9,63.63,,AFN 120,حریداری منر بابت دفتر ,13-May-26,744,,,,
"$168,766.6",$12.7,63.21,,AFN 800,خریداری کباب گوسفندی و تکه به مهمان ,16-May-26,745,,,,
"$168,788.1",$21.6,63.5,,"AFN 1,370","مصارف بیرونی رحیم از قبیل رفتن به ناحیه, دفتر, سینمای پامیر برشنا, شهر نو, دهمزنگ, نان چاشت, سیم کارت, شهرک آریا و غیره مصارف در روز های 12, 13, 14 و 16 می صورت کرفته است. ",16-May-26,746,,,,
"$168,868.4",$80.3,63.5,,"AFN 5,100",حریداری دو توپ تکه عربی به رنگ های مختلف ,16-May-26,747,,,,
"$168,907.8",$39.4,63.5,,"AFN 2,500",پرداخت برای انترینت خانه به شرکت رهانت ,16-May-26,748,,,,
"$168,910.5",$2.7,63.5,,AFN 170,حریداری شیر به خانه توسط ادریس به هدایت حاجی عاشق الله ,17-May-26,749,,,,
"$169,168.5",$258.0,63.5,,"AFN 16,385","پرداخت مصرف واحد های نمبر 1, 3, 4,7,23 و 22 بابت ماه حمل سال 1405",17-May-26,750,,,,
"$176,168.5","$7,000.0",63.7,"$7,000.00",,پرداخت برای مواد ارتزاقی ذبیع الله ذاخیل بابت ذکات سال 1404 سال جاری توسط حاجی عاشق الله توسط چک نمبر 2427  از صرافی خانی گل,19-May-26,,,,,
"$176,172.3",$3.8,63.62,,AFN 242,"خریداری قیماق, پیاز, رومی, بادرنگ, لیمو, مرچ بابت رستوانت",20-May-26,751,,,,
"$176,184.1",$11.8,63.62,,AFN 750,خریداری جوس به مهمانان دفتر,20-May-26,755,,,,
"$176,186.5",$2.4,63.7,,AFN 150,"پرداخت کرای موتر به ریاست مالیه دهنده گان و ثبت مالکیت های فرکری کابل ننداری, و چاپ عکس حاجی جاوید و کاپی تذکره حاجی عاشق الله و حاجی جاوید",20-May-26,756,,,,
"$176,200.5",$14.0,63.62,,AFN 890,کمیشن بانکی جواز focus کرایه دو طرفه و نان چاشت از جمله مصارف رحیم می باشد,20-May-26,,,,,
"$176,209.1",$8.7,63.57,,AFN 550,"مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, چهاراهی شهر, وزارت داخله و کارت موبایل",20-May-26,,,,,
"$176,232.7",$23.6,63.62,,"AFN 1,500",پرداخت به کم بودی تعریفه تمدید جواز ساختمانی focus به  حاجی ثنا الله,21-May-26,,,,,
"$176,235.0",$2.4,63.7,,AFN 150,"پرداخت کرای به ریاست مالیه دهنده گان و ثبت مالکیت های فرکری کابل ننداری, و چاپ عکس حاجی جاوید و کاپی تذکره حاجی عاشق الله و حاجی جاوید",21-May-26,758,,,,
"$176,366.2",$131.2,64.8,,"AFN 8,500",خریداری لباس ورزشی و پروتین توسط سمیر للندر ,21-May-26,763,,,,
"$176,387.1",$20.9,63.62,,"AFN 1,330","خریداری کیک سالکره, شمع به دفتر",23-May-26,764,,,,
"$206,387.1","$30,000.0",63.62,"$30,000.00",,پرداخت برای فیض محمد عطایی یایت  واپسی سه باب آپاذتمان از چت منزل هشتم سکشن A که بتاریخ 6 حمل 1405 توسط همایون نعیم در صرافی خانی گل واقح سرای شهزاده جمح گردیده بود,8-Jun-26,765,,,,
"$207,125.9",$738.8,63.62,,"AFN 47,000",پرداخت اجرت کانتینر های گدام کارته سه به زمین دارلمان ,8-Jun-26,766,,,,
"$207,162.3",$36.5,63.62,,"AFN 2,320",پرداخت برای مصارف انتقال میتر آب زمین دارالامان,10-Jun-26,767,,,,
"$207,178.9",$16.5,63.62,,"AFN 1,050",پرداخت اجرت روز مزد سه روزه محمد بصیر بابت کار در زمین دارالامان ,10-Jun-26,768,,,,
"$207,226.0",$47.2,63.62,,"AFN 3,000",پرداخت قسط اول برای خیاطی خان فیشن رشاد صیفی بابت تهیه لباس خانه  ,14-Jun-26,769,,,,
"$207,320.3",$94.3,63.62,,"AFN 6,000",پرداخت قسط دوم برای خیاطی خان فیشن رشاد صیفی بابت تهیه لباس خانه  ,14-Jun-26,770,,,,
"$207,508.9",$188.6,63.62,,"AFN 12,000",پرداخت قسط سوم برای خیاطی خان فیشن رشاد صیفی بابت تهیه لباس خانه  ,14-Jun-26,771,,,,
"$207,511.8",$2.8,63.62,,AFN 180,خریداری سگرت به مهمانان دفتر ,15-Jun-26,772,,,,
"$207,579.4",$67.6,63.62,,"AFN 4,300","پرداخت برای چاپ بل بوک های رسید پول, بل قراردادی و بل نان خشک به دفتر ",15-Jun-26,761,,,,
"$207,585.5",$6.1,63.62,,AFN 390,پرداخت برای فتوکاپی اسناد حوزه مالیاتی اول و کرای موتر و کرای تکسی عبدلرحیم به دفتر ,15-Jun-26,762,,,,
"$207,838.6",$253.1,63.62,,"AFN 16,100",خریداری یک پایه کولر آبی نشنل به دفتر,15-Jun-26,763,,,,
"$207,954.9",$116.3,63.62,,"AFN 7,400",خریداری یک پایه کولر آبی نشنل به دفتر,15-Jun-26,764,,,,
"$207,978.4",$23.6,63.62,,"AFN 1,500","پرداخت برای مصارفات بیرونی عبدالرحیم از قبیل رفتن به پل سرخ, شهرنو, برداشت سمیر بخاطر سلمانی, رفتن به ریاست صدور مجوز, کارت مبایل, سرای شمالی و صدور و محیط زیست, به شرکت کابل بن, کرای ناحیه سوم و چهاراهی سرسبزی",16-Jun-26,765,,,,
"$207,983.9",$5.5,63.62,,AFN 350,خریداری فلش 64 جی بی به ضرورت حاجی جاویدالله ,16-Jun-26,766,,,,
"$208,983.9","$1,000.0",63.62,"$1,000.00",,پرداخت برای عمران بابت خریداری تکت ثناالله به کشور امریکا,16-Jun-26,767,,,,
"$218,983.9","$10,000.0",63.62,"$10,000.00",,پرداخت برای مایار ریاست صدور مجوز به هدایت حاجی رفیح الله ,16-Jun-26,768,,,,
"$219,016.2",$32.2,63.62,,"AFN 2,050",پرداخت برای مصارفات کرای تکسی وکرای موتر عبدالرحیم و پاک کاری واحد دو اطاقه حاجی گل تاور,17-Jun-26,769,,,,
"$221,550.6","$2,534.4",63.62,,"AFN 161,240",پرداخت تعرفه مالیه بر کرایه تعمیر للندر باغ قاضی بابت سال 1404,17-Jun-26,770,,,,
"$221,589.9",$39.3,63.62,,"AFN 2,500",پرداخت فیس انترنیت خانه از تاریخ 16 جون الی 17 جولای 2026 ,17-Jun-26,771,,,,
"$221,592.9",$3.0,63.62,,AFN 190,پرداخت کرای تکسی عبدالرحیم بابت تحویلی تعرفه مالیه بر کرایه باغ قاضی و ترتیب عریضه تخریب جایداد باغ قاضی به حوزه مالیاتی اول ,17-Jun-26,772,,,,`
"$221,792.9",$200.0,63.62,$200.00,,برداشت سمیر للندر از دفتر به هدایت حاجی عاشق الله ,17-Jun-26,773,,,,
"$221,795.2",$2.4,63.62,,AFN 150,خریداری ماست به دفتر ,20-Jun-26,774,,,,
"$221,797.1",$1.9,63.62,,AFN 120,خریداری سگرت به مهمانان دفتر ,22-Jun-26,775,,,,
"$222,011.5",$214.4,63.62,,"AFN 13,637",پرداخت مصارف بل های برق دفتر و خانه های کارته سه بابت ماه ثور 1405,23-Jun-26,776,,,,
"$222,096.6",$85.2,63.62,,"AFN 5,419",پرداخت معاش نویدالله ولد عصمت الله بابت ماه جوزا سال 1405,24-Jun-26,777,,,,
"$222,596.6",$500.0,63.62,$500.00,,پرداخت برای اعمار مسجد توسط حاجی عاشق الله بدست حاجی زیور ,24-Jun-26,778,,,,
"$226,180.7","$3,584.0",63.62,,"AFN 228,016",پرداخت تعرفه موترخریداری شده از کشور امریکا توسط حاجی عاشق الله ,28-Jun-26,779,,,,
"$226,287.4",$106.7,63.62,,"AFN 6,790",خریداری برنج روغن به خانه توسط حاجی عاشق الله ,28-Jun-26,780,,,,
"$227,038.0",$750.6,63.62,,"AFN 47,753",پرداخت تعرفه صفایی تعمیرباغ قاضی بابت سال 1405 اسامی عتیق الله ولد عصمت الله و جمعه خان ولد غلام عیدر ,29-Jun-26,781,,,,
"$227,041.8",$3.8,63.62,,AFN 240,پرداخت کرای تکسی دو طرف عبدالرحیم با بانک و مصرف نان چاشت بخاطر تحویلی تعرفه صفایی تعمیر باغ قاضی ,29-Jun-26,782,,,,
"$227,827.7",$785.9,63.62,,"AFN 50,000",پرداخت برای احمد نبی نعمتی مبلغ پنجاه هزار افغانی توسط حاجی عاشق الله ,29-Jun-26,783,,,,
"$227,984.9",$157.2,63.62,,"AFN 10,000",پرداخت برای عبدالله گلکار بابت خشت کاری دیوار احاطوی زمین گلباغ بدست برادرش مصطفی ,29-Jun-26,784,,,,
"$237,984.9","$10,000.0",63.62,"$10,000.00",,پرداخت برای احمد نبی نعمتی مبلغ ده هزار دالر امریکایی توسط حاجی عاشق الله ,29-Jun-26,785,,,,
"$238,137.5",$152.7,65.5,,"AFN 10,000",پرداخت معاش عبدالکریم ولد محمد ظاهر بابت ماه ثور سال 1405,2-Jul-26,786,,,,
"$238,290.2",$152.7,65.5,,"AFN 10,000",پرداخت معاش عبدالکریم ولد محمد ظاهر بابت ماه جوزا سال 1405,2-Jul-26,787,,,,
"$238,293.3",$3.1,65.5,,AFN 200,خریداری پیاز و کچالو به آشپزخانه دفتر ,2-Jul-26,788,,,,
"$238,295.1",$1.8,65.5,,AFN 120,پرداخت برای اسکن قباله شرعی حاجی خلیل به حاجی رفیح الله از تعمیر للندر 5 و خریداری change usb to type c برای حاجی رفیح الله ,2-Jul-26,789,,,,
"$238,295.9",$0.8,63.62,,AFN 50,خریداری ماست به دفتر ,4-Jul-26,790,,,,
"$238,321.8",$25.9,63.62,,"AFN 1,650",پرداخت مصارفات بیرونی عبدالرحیم بابت طی مراحل اسناد دوایر دولتی دفتر ,4-Jul-26,791,,,,
"$238,337.5",$15.7,63.62,,"AFN 1,000",خریداری تیل دیزل به جنرتور زمین گلباغ ,4-Jul-26,792,,,,
"$238,581.2",$243.6,63.62,,"AFN 15,500",پرداخت خدمات اخذ شده توسط حاجی عاشق الله از واحد A01 تعمیر للندر 3 گزرگاه,8-Dec-25,793,,,,
"$239,081.2",$500.0,63.62,$500.00,,پرداخت برای محمد تعمیم بابت نصب و خریداری کلکین pvc واخد نمبر 23,8-Dec-25,794,,,,
"$239,082.7",$1.6,63.62,,AFN 100,خریداری گاز  به فتر,8-Dec-25,795,,,,
"$239,085.6",$2.8,63.62,,AFN 180,خریداری شرش کاط به دفتر ,8-Dec-25,796,,,,
"$239,088.7",$3.1,63.62,,AFN 200,خریداری جوس به مهمانانی دفتر مربوط للندر 5 ,15-Dec-25,797,,,,
"$239,113.9",$25.1,63.62,,"AFN 1,600",خریداری ترموز پارتی به دفتر ,15-Dec-25,798,,,,
"$239,117.0",$3.1,63.62,,AFN 200,"خریداری گوشت, ماست و غیره به دفتر ",15-Dec-25,799,,,,
"$239,120.5",$3.5,63.62,,AFN 220,"خریداری ماست, آب و نوشابه به دفتر ",14-Dec-25,800,,,,
"$239,139.5",$19.0,63.62,,"AFN 1,210",پرداخت برای عبدالرحیم بابت نان و کرای تکسی و غیره,14-Dec-25,801,,,,
"$239,165.4",$25.9,63.62,,"AFN 1,650","پرداخت برای رحیم بابت کرای راه, کاپی اسناد و قفل برای خانه کارته سه ",13-Dec-25,802,,,,
"$239,203.6",$38.2,63.62,,"AFN 2,430",خریداری قفل دروازه به دفتر ,11-Dec-25,803,,,,
"$239,209.1",$5.5,63.62,,AFN 350,خریداری گوشت گوسفند به دفتر ,11-Dec-25,804,,,,
"$239,214.3",$5.2,63.62,,AFN 330,"پرداخت کرای راه رحیم بابت رفتن به نوایی کوته سگی, شهر و غیره و دادن بل برق خانه چهل ستون",11-Dec-25,805,,,,
"$239,221.9",$7.5,63.62,,AFN 480,خریداری قفل و گچ پلاستیکی به دفتر ,11-Dec-25,806,,,,
"$240,021.9",$800.0,63.62,$800.00,,پرداخت برای وکیل صاحب قیومی بابت پیش برد امورات ادراری محکمه بابت دعوای جایداد عبدالله ولد حبیب,11-Dec-25,807,,,,
"$240,084.7",$62.9,63.62,,"AFN 4,000","خریداری گوشت گوساله استخوان دار, گوشت سرخی گوساله ران مرغ و غیره بابت دفتر ",11-Dec-25,808,,,,
"$240,091.0",$6.3,63.62,,AFN 400,خریداری کچالو 2 سیر به دفتر ,17-Dec-25,809,,,,
"$240,107.5",$16.5,63.62,,"AFN 1,050","خریداری سیر, کوک, آب , ترکاری, دال و ترکاری  به دفتر ",17-Dec-25,810,,,,
"$240,121.7",$14.1,63.62,,AFN 900,خریداری گوشت گوساله 2 کیلو به للندر 5,17-Dec-25,811,,,,
"$240,123.2",$1.6,63.62,,AFN 100,خریداری پیاز یک سیر به دفتر,17-Dec-25,812,,,,
"$240,131.9",$8.6,63.62,,AFN 550,خریداری مرغ و ترکاری به دفتر,16-Dec-25,813,,,,
"$240,133.5",$1.6,63.62,,AFN 100,خریدرای گروپ 12 وات ولدر 1 دانه به دفتر,16-Dec-25,814,,,,
"$240,172.8",$39.3,63.62,,"AFN 2,500",پرداخت برای انترنیت بابت خانه ,16-Dec-25,815,,,,
"$240,175.4",$2.7,63.62,,AFN 170,"پرداخت برای رحیم بابت کرای راه رفتن به شهر نو, کوته سنگی آمدن به دفتر ",21-Dec-25,816,,,,
"$240,181.7",$6.3,63.62,,AFN 400,خریداری کیک 2 کیلو به دفتر ,21-Dec-25,817,,,,
"$240,195.5",$13.8,63.62,,AFN 875,خریداری اش 500 گرام و سینه مرغ به دفتر ,20-Dec-25,818,,,,
"$240,206.5",$11.0,63.62,,AFN 700,پرداخت برای رحیم غفوری بابت کرای راه به دفتر ,18-Dec-25,819,,,,
"$240,520.8",$314.4,63.62,,"AFN 20,000",برداشت فیض الله نجار بابت دروازه دفتر ,18-Dec-25,820,,,,
"$240,560.1",$39.3,63.62,,"AFN 2,500",پرداخت برای فیض الله نجار بابت تهیه دروازه و الماری دفتر ثناالله للندر ,25-Dec-25,821,,,,
"$240,874.5",$314.4,63.62,,"AFN 20,000",برداشت حاجی صبغت الله از دفتر بخاطر ترمیم موتر فرونر,29-Dec-25,822,,,,
"$241,495.7",$621.2,63.62,,"AFN 39,518",پرداخت برای تعرفه 33 متر جایداد دولتی تعمیر باغ قاضی بابت ماه میزان 1404,14-Oct-25,823,,,,
"$241,505.9",$10.2,63.62,,AFN 650,خریداری نان از رستورانت به دفتر ,4-Dec-25,824,,,,
"$241,507.4",$1.6,63.62,,AFN 100,پرداخت کرای تکسی بابت جمح آوری کرایه باغ قاضی ,4-Dec-25,825,,,,
"$241,509.0",$1.6,63.62,,AFN 100,خریداری گاز مایح به دفتر ,4-Dec-25,826,,,,
"$241,511.8",$2.8,63.62,,AFN 180,خریداری سه عدد مساله بریانی به دفتر ,4-Dec-25,827,,,,
"$242,133.0",$621.2,63.62,,"AFN 39,518",پرداخت تعرفه جایداد دولتی تعمیر باغ قاضی ماه قوس 1404,4-Dec-25,828,,,,
"$242,134.9",$1.9,63.62,,AFN 120,خریداری روغن خورد به دفتر ,2-Dec-25,829,,,,
"$242,154.5",$19.6,63.62,,"AFN 1,250",خریداری چینج آور 80 امپیر اتومات و 2 پول به تعمیر کارته سه,7-Dec-25,830,,,,
"$242,217.4",$62.9,63.62,,"AFN 4,000",خریداری کباب گوسفندی به خانه ,7-Dec-25,831,,,,
"$242,255.6",$38.2,63.62,,"AFN 2,430","خریداری گوشت سرخی, گوشت استخوان دار, ترکاری و خلال",7-Dec-25,832,,,,
"$242,260.3",$4.7,63.62,,AFN 300,خریداری نوشابه به دفتر,7-Dec-25,833,,,,
"$242,323.3",$63.0,63.62,,"AFN 4,010","خریداری کلچه, کشمش, نخود, چپه نمک و بادام به دفتر",1-Dec-25,834,,,,
